Rank,TOP500 Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax [TFlop/s],Rpeak [TFlop/s],Power (kW),Power Source,Power Efficiency [GFlops/Watts],Power Source,Power Quality Level,Optimized Run (HPL),Optimized Run (Peak Power),Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Continent,Site ID,System ID
115,93,Damson,"Bull Sequana X1000, Xeon E5-2697v4 18C 2.3GHz, Infiniband EDR",AWE,Atos,United Kingdom,2017,Research,"113,832",,"3,243.41","3,791.58","1,134.00",Submitted,2.86,,2,,,Cluster,Xeon E5-2697v4 18C 2.3GHz,Intel Broadwell,"2,300",bullx SCS,Linux,None,18,Intel Xeon E5 (Broadwell),BullSequana X1000,BullSequana,Infiniband,Infiniband EDR,Europe,"47,363",179409
116,76,JURECA,"T-Platforms V-Class/Dell C6320P, E5-2680v3/Phi 7250-F, EDR/Intel Omni-Path/ParTec ParaStation, Tesla K80/K40",Forschungszentrum Juelich (FZJ),"T-Platforms, Intel, Dell",Germany,2015,Research,"155,150","4,110","3,782.57","6,563.84","1,345.28",Submitted,2.81,,1,,,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,"2,500",CentOS,Linux,NVIDIA Tesla K80,12,Intel Xeon E5 (Haswell),T-Platforms V-Class Cluster,T-Platforms Cluster,Infiniband,Infiniband EDR,Europe,"47,871",178718
117,77,Pratyush,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect ",Indian Institute of Tropical Meteorology,Cray/HPE,India,2018,Research,"119,232",,"3,763.94","4,006.20","1,353.23",Submitted,2.78,,,,,MPP,Xeon E5-2695v4 18C 2.1GHz,Intel Broadwell,"2,100",Cray Linux Environment ,Linux,None,18,Intel Xeon E5 (Broadwell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Asia,"50,296",179416
118,60,Cheyenne,"SGI ICE XA, Xeon E5-2697v4 18C 2.3GHz, Infiniband EDR",National Center for Atmospheric Research (NCAR),HPE,United States,2016,Research,"144,900",,"4,788.19","5,332.32","1,727.00",Submitted,2.77,,,,,Cluster,Xeon E5-2697v4 18C 2.3GHz,Intel Broadwell,"2,300",SUSE Linux Enterprise Server 12 SP1,Linux,None,18,Intel Xeon E5 (Broadwell),SGI ICE XA,SGI ICE,Infiniband,Infiniband EDR,North America,"48,418",178965
119,427,Cedar-2,"PowerEdge C6320/C6420, Xeon E5-2683 v4  16C 2.1GHz/Xeon Platinum 8160, Intel Omni-Path",Simon Fraser University/Compute Canada,Dell EMC,Canada,2018,Academic,"55,296",,"1,632.96","3,715.89",601.00,Submitted,2.72,,1,,,Cluster,Xeon E5-2683 v4  16C 2.1GHz,Intel Broadwell,"2,100",CentOS,Linux,None,16,Intel Xeon E5 (Broadwell),PowerEdge C6320,Dell PowerEdge Cluster,Omnipath,Intel Omni-Path,North America,"50,722",179600
120,109,Mistral,"bullx DLC 720, Xeon E5-2680v3 12C 2.5GHz/E5-2695V4 18C  2.1Ghz, Infiniband FDR",DKRZ - Deutsches Klimarechenzentrum,Atos,Germany,2015,Research,"99,072",,"3,010.68","3,962.88","1,116.00",Submitted,2.70,,,,,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,"2,500",Bullx Linux,Linux,None,12,Intel Xeon E5 (Haswell),bullx DLC 720,Bull Bullx,Infiniband,Infiniband FDR,Europe,"47,642",178567
121,144,Mihir,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect ",National Centre for Medium Range Weather Forecasting,Cray/HPE,India,2018,Research,"83,592",,"2,570.40","2,808.69",954.73,Submitted,2.69,,,,,MPP,Xeon E5-2695v4 18C 2.1GHz,Intel Broadwell,"2,100",Cray Linux Environment ,Linux,None,18,Intel Xeon E5 (Broadwell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Asia,"50,235",179418
122,13,Trinity,"Cray XC40, Xeon E5-2698v3 16C 2.3GHz, Intel Xeon Phi 7250 68C 1.4GHz, Aries interconnect",DOE/NNSA/LANL/SNL,Cray/HPE,United States,2017,Research,"979,072",,"20,158.70","41,461.15","7,578.10",Submitted,2.66,,,,,MPP,Intel Xeon Phi 7250 68C 1.4GHz,Intel Xeon Phi,"1,400",Cray Linux Environment ,Linux,None,68,Intel Xeon Phi,Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,North America,"50,334",178610
123,312,,"Huawei X6000, Xeon Gold 6242 16C 2.8GHz, Infiniband EDR",Manufacturing Company B,Huawei,Germany,2019,Industry,"38,400",,"1,724.45","3,440.64",654.60,Submitted,2.63,,,,,Cluster,Xeon Gold 6242 16C 2.8GHz,Intel Cascade lake,"2,800",Linux,Linux,None,16,Xeon Gold 62xx (Cascade Lake),Huawei X6000,Huawei Cluster,Infiniband,Infiniband EDR,Europe,"50,690",179727
124,263,,"Huawei 2288H V5, Xeon Gold 6150 18C 2.7GHz, 10G Ethernet",Energy Company,Huawei,China,2018,Industry,"49,680",,"1,914.38","4,292.35",732.78,Submitted,2.61,,,,,Cluster,Xeon Gold 6150 18C 2.7GHz,Intel Skylake,"2,700",Linux,Linux,None,18,Xeon Gold,Huawei 2288H V5,Huawei Cluster,Gigabit Ethernet,10G Ethernet,Asia,"50,417",179595
125,196,Prolix2,"bullx DLC 720, Xeon E5-2698v4 20C 2.2GHz, Infiniband FDR",Meteo France,Atos,France,2014,Research,"72,000",,"2,167.99","2,534.40",830.40,Submitted,2.61,,,,,Cluster,Xeon E5-2698v4 20C 2.2GHz,Intel Broadwell,"2,200",bullx SCS,Linux,None,20,Intel Xeon E5 (Broadwell),bullx DLC 720,Bull Bullx,Infiniband,Infiniband FDR,Europe,"48,356",178429
126,201,Beaufix2,"bullx DLC 720, Xeon E5-2698v4 20C 2.2GHz, Infiniband FDR",Meteo France,Atos,France,2016,Research,"73,440",,"2,157.41","2,585.09",830.20,Submitted,2.60,,,,,Cluster,Xeon E5-2698v4 20C 2.2GHz,Intel Broadwell,"2,200",bullx SCS,Linux,None,20,Intel Xeon E5 (Broadwell),bullx DLC 720,Bull Bullx,Infiniband,Infiniband FDR,Europe,"48,356",178962
127,96,HPC2,"iDataPlex DX360M4, Intel Xeon E5-2680v2  10C 2.8GHz, Infiniband FDR, NVIDIA K20x",Eni S.p.A.,IBM,Italy,2014,Industry,"72,000","42,000","3,188.00","4,605.00","1,227.00",Submitted,2.60,,,,,Cluster,Intel Xeon E5-2680v2  10C 2.8GHz,Intel IvyBridge,"2,800",Linux,Linux,NVIDIA Tesla K20x,10,Intel Xeon E5 (IvyBridge),iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband FDR,Europe,"50,489",178425
128,266,Piz Daint Multicore,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect ",Swiss National Supercomputing Centre (CSCS),Cray/HPE,Switzerland,2016,Research,"65,268",,"1,896.75","2,193.01",732.40,Submitted,2.59,,3,,,MPP,Xeon E5-2695v4 18C 2.1GHz,Intel Broadwell,"2,100",Cray Linux Environment ,Linux,None,18,Intel Xeon E5 (Broadwell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Europe,"50,422",178451
129,470,BtACC,"Sugon TC6000, Xeon E5-2680v4 14C 2.4GHz, Infiniband FDR",Baotou Advanced Computing Center,Sugon,China,2018,Government,"52,080",,"1,416.00","1,999.87",560.00,Submitted,2.53,,,,,Cluster,Xeon E5-2680v4 14C 2.4GHz,Intel Broadwell,"2,400",CentOS,Linux,None,14,Intel Xeon E5 (Broadwell),Sugon TC6000,Sugon Cluster,Infiniband,Infiniband FDR,Asia,"50,781",179530
130,449,LANL CTS-1 Grizzly,"Tundra Extreme Scale, Xeon E5-2695v4 18C 2.1GHz, Intel Omni-Path",Los Alamos National Laboratory,Penguin Computing,United States,2016,Research,"53,352",,"1,524.72","1,792.63",603.40,Submitted,2.53,,3,,,Cluster,Xeon E5-2695v4 18C 2.1GHz,Intel Broadwell,"2,100",Linux/TOSS,Linux,None,18,Intel Xeon E5 (Broadwell),Tundra Extreme Scale,Penguin Computing Cluster,Omnipath,Intel Omni-Path,North America,"48,276",178972
131,485,Sid,"bullx DLC 720, Xeon E5-2695v4 18C 2.1GHz, Infiniband FDR",Atos,Atos,France,2016,Vendor,"49,896",,"1,363.48","1,676.51",543.00,Submitted,2.51,,,,,Cluster,Xeon E5-2695v4 18C 2.1GHz,Intel Broadwell,"2,100",bullx SCS,Linux,None,18,Intel Xeon E5 (Broadwell),bullx DLC 720,Bull Bullx,Infiniband,Infiniband FDR,Europe,"50,630",178811
132,84,,"Cray CS-Storm, Intel Xeon E5-2660v2 10C 2.2GHz, Infiniband FDR, Nvidia K40",Government,Cray/HPE,United States,2015,Government,"72,800","62,400","3,577.00","6,131.84","1,498.90",Submitted,2.39,,,,,Cluster,Xeon E5-2660v2 10C 2.2GHz,Intel IvyBridge,"2,200",Linux,Linux,NVIDIA Tesla K40,10,Intel Xeon E5 (IvyBridge),Cray CS-Storm,Cray CS-Storm,Infiniband,Infiniband FDR,North America,"50,046",178519
133,83,,"Cray CS-Storm, Intel Xeon E5-2660v2 10C 2.2GHz, Infiniband FDR, Nvidia K40",Government,Cray/HPE,United States,2014,Government,"72,800","62,400","3,577.00","6,131.84","1,498.90",Submitted,2.39,,,,,Cluster,Xeon E5-2660v2 10C 2.2GHz,Intel IvyBridge,"2,200",Linux,Linux,NVIDIA Tesla K40,10,Intel Xeon E5 (IvyBridge),Cray CS-Storm,Cray CS-Storm,Infiniband,Infiniband FDR,North America,"50,046",178445
134,467,Pre Earth Simulatorv2,"Sugon Si-Cube, Xeon E5-2680v3 12C 2.5GHz, 56Gb 3D-Torus","Institute of Atmospheric Physics, Chinese Academy of Sciences",Sugon,China,2018,Research,"48,000",,"1,428.00","1,920.00",600.00,Submitted,2.38,,,,,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,"2,500",CentOS,Linux,None,12,Intel Xeon E5 (Haswell),Sugon Si-Cube,Sugon Cluster,Infiniband,56Gb 3D-Torus,Asia,"50,740",179528
135,73,Abel,"Cray XC30, Xeon E5-2698v3 16C 2.3GHz, Aries interconnect ",Petroleum Geo-Services,Cray/HPE,United States,2015,Industry,"145,920",,"4,042.46","5,369.86","1,800.00",Submitted,2.25,,,,,MPP,Xeon E5-2698v3 16C 2.3GHz,Intel Haswell,"2,300",Cray Linux Environment ,Linux,None,16,Intel Xeon E5 (Haswell),Cray XC30,Cray XC,Custom Interconnect,Aries interconnect ,North America,"48,602",178556
136,466,Blue Joule,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom",Science and Technology Facilities Council - Daresbury Laboratory,IBM,United Kingdom,2012,Research,"131,072",,"1,431.10","1,677.72",657.00,Submitted,2.18,,,,,MPP,Power BQC 16C 1.6GHz,PowerPC,"1,600",Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,Europe,"47,670",177723
137,296,Beskow,"Cray XC40, Xeon E5-2695v4/E5-2698v3 16C 2.3GHz, Aries interconnect ",KTH - Royal Institute of Technology,Cray/HPE,Sweden,2017,Academic,"67,456",,"1,802.51","2,438.14",842.00,Submitted,2.14,,,,,MPP,Xeon E5-2698v3 16C 2.3GHz,Intel Haswell,"2,300",Cray Linux Environment ,Linux,None,16,Intel Xeon E5 (Haswell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Europe,"48,188",178448
138,74,,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect ",ECMWF,Cray/HPE,United Kingdom,2016,Research,"126,468",,"3,944.68","4,249.33","1,897.02",Submitted,2.08,,,,,MPP,Xeon E5-2695v4 18C 2.1GHz,Intel Broadwell,"2,100",Cray Linux Environment ,Linux,None,18,Intel Xeon E5 (Broadwell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Europe,"47,752",178431
139,75,,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect ",ECMWF,Cray/HPE,United Kingdom,2016,Research,"126,468",,"3,944.68","4,249.33","1,897.02",Submitted,2.08,,,,,MPP,Xeon E5-2695v4 18C 2.1GHz,Intel Broadwell,"2,100",Cray Linux Environment ,Linux,None,18,Intel Xeon E5 (Broadwell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Europe,"47,752",178749
140,118,,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect ",United Kingdom Meteorological Office,Cray/HPE,United Kingdom,2016,Research,"89,856",,"2,801.78","3,019.16","1,347.84",Submitted,2.08,,,,,MPP,Xeon E5-2695v4 18C 2.1GHz,Intel Broadwell,"2,100",Cray Linux Environment ,Linux,None,18,Intel Xeon E5 (Broadwell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Europe,"49,064",178752
141,117,,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect ",United Kingdom Meteorological Office,Cray/HPE,United Kingdom,2016,Research,"89,856",,"2,801.78","3,019.16","1,347.84",Submitted,2.08,,,,,MPP,Xeon E5-2695v4 18C 2.1GHz,Intel Broadwell,"2,100",Cray Linux Environment ,Linux,None,18,Intel Xeon E5 (Broadwell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Europe,"49,064",178751
142,223,Tianhe-2 LvLiang Solution,"Tianhe-2 LvLiang, Intel Xeon E5-2692v2 12C 2.2GHz, TH Express-2, Intel Xeon Phi 31S1P",LvLiang Cloud Computing Center,NUDT,China,2014,Industry,"174,720","153,216","2,071.39","3,074.53",997.00,Submitted,2.08,,,,,Cluster,Intel Xeon E5-2692v2 12C 2.2GHz,Intel IvyBridge,"2,200",Kylin Linux,Linux,Intel Xeon Phi 31S1P,12,Intel Xeon E5 (IvyBridge),Tianhe-2 LvLiang,Tianhe-2 LvLiang,Custom Interconnect,TH Express-2,Asia,"50,546",178464
143,324,Prometheus,"HP Apollo 8000, Xeon E5-2680v3 12C 2.5GHz, Infiniband FDR, NVIDIA Tesla K40",Cyfronet,HPE,Poland,2015,Academic,"55,728","2,160","1,670.09","2,348.64",807.60,Submitted,2.07,,,,,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,"2,500",Linux,Linux,NVIDIA Tesla K40,12,Intel Xeon E5 (Haswell),Apollo 8000,HP Apollo,Infiniband,Infiniband FDR,Europe,"47,634",178534
144,192,Makman-2,"Dell PowerEdge R630, Xeon E5-2680v3 12C 2.5GHz, Infiniband QDR",Saudi Aramco,Dell EMC,Saudi Arabia,2015,Industry,"76,032",,"2,249.68","3,041.28","1,134.00",Submitted,1.98,,,,,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,"2,500",Redhat Enterprise Linux 6.5,Linux,None,12,Intel Xeon E5 (Haswell),Dell PowerEdge R630,Dell PowerEdge Cluster,Infiniband,Infiniband QDR,Asia,"48,751",178606
145,52,Shaheen II,"Cray XC40, Xeon E5-2698v3 16C 2.3GHz, Aries interconnect ",King Abdullah University of Science and Technology,Cray/HPE,Saudi Arabia,2015,Academic,"196,608",,"5,536.99","7,235.17","2,834.00",Submitted,1.95,,,,,MPP,Xeon E5-2698v3 16C 2.3GHz,Intel Haswell,"2,300",Cray Linux Environment ,Linux,None,16,Intel Xeon E5 (Haswell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Asia,"50,205",178515
146,99,SORA-MA,"Fujitsu PRIMEHPC FX100, SPARC64 XIfx  32C 1.98GHz, Tofu interconnect 2",Japan Aerospace eXploration Agency,Fujitsu,Japan,2015,Research,"110,160",,"3,157.00","3,481.06","1,652.40",Submitted,1.91,,,,,Cluster,SPARC64 XIfx  32C 1.98GHz,Sparc,"1,975",Linux,Linux,None,32,SPARC64 XIfx,Fujitsu PRIMEHPC FX100,Fujitsu PRIMEHPC,Proprietary Network,Tofu interconnect 2,Asia,"50,187",178554
147,116,SuperMUC Phase 2,"NeXtScale nx360M5, Xeon E5-2697v3 14C 2.6GHz, Infiniband FDR14",Leibniz Rechenzentrum,Lenovo/IBM,Germany,2015,Academic,"86,016",,"2,813.62","3,578.27","1,480.83",Submitted,1.90,,,,,Cluster,Xeon E5-2697v3 14C 2.6GHz,Intel Haswell,"2,600",Linux,Linux,None,14,Intel Xeon E5 (Haswell),IBM NeXtScale nx360M5,NeXtScale,Infiniband,Infiniband FDR14,Europe,"48,248",178544
148,148,cascade,"Atipa Visione IF442 Blade Server, Xeon E5-2670 8C 2.600GHz, Infiniband FDR, Intel Xeon Phi 5110P",DOE/SC/Pacific Northwest National Laboratory,Atipa,United States,2013,Research,"194,616","171,720","2,539.13","3,388.03","1,384.00",Submitted,1.83,,,,,Cluster,Xeon E5-2670 8C 2.6GHz,Intel SandyBridge,"2,600",Linux,Linux,Intel Xeon Phi 5110P,8,Intel Xeon E5 (SandyBridge),Atipa Visione IF442 Blade Server,Atipa Cluster,Infiniband,Infiniband FDR,North America,"48,611",178250
149,271,Tera-1000-1,"bullx DLC 720, Xeon E5-2698v3 16C 2.3GHz, Infiniband FDR",Commissariat a l'Energie Atomique (CEA),Atos,France,2016,Research,"70,272",,"1,871.00","2,586.01","1,042.00",Submitted,1.80,,,,,Cluster,Xeon E5-2698v3 16C 2.3GHz,Intel Haswell,"2,300",Bullx Linux,Linux,None,16,Intel Xeon E5 (Haswell),bullx DLC 720,Bull Bullx,Infiniband,Infiniband FDR,Europe,"47,593",178790
150,164,Nuri,"Cray XC40, Xeon E5-2690v3 12C 2.6GHz, Aries interconnect ",Korea Meteorological Administration,Cray/HPE,South Korea,2015,Research,"69,600",,"2,395.68","2,895.36","1,359.38",Submitted,1.76,,,,,MPP,Xeon E5-2690v3 12C 2.6GHz,Intel Haswell,"2,600",Cray Linux Environment ,Linux,None,12,Intel Xeon E5 (Haswell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Asia,"48,217",178611
151,165,Miri,"Cray XC40, Xeon E5-2690v3 12C 2.6GHz, Aries interconnect ",Korea Meteorological Administration,Cray/HPE,South Korea,2015,Research,"69,600",,"2,395.68","2,895.36","1,359.38",Submitted,1.76,,,,,MPP,Xeon E5-2690v3 12C 2.6GHz,Intel Haswell,"2,600",Cray Linux Environment ,Linux,None,12,Intel Xeon E5 (Haswell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Asia,"48,217",178612
152,476,TSystem,"Sugon TC6000, Xeon Gold 5118 12C 2.3GHz, 10G Ethernet",Internet Company,Sugon,China,2018,Industry,"78,000",,"1,405.00","5,740.80",800.00,Submitted,1.76,,,,,Cluster,Xeon Gold 5118 12C 2.3GHz,Intel Skylake,"2,300",Linux,Linux,None,12,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,10G Ethernet,Asia,"50,743",179537
153,149,occigen2,"bullx DLC 720, Xeon E5-2690v4 14C 2.6GHz, Infiniband FDR",Grand Equipement National de Calcul Intensif - Centre Informatique National de l'Enseignement Suprieur (GENCI-CINES),Atos,France,2016,Academic,"85,824",,"2,494.65","3,570.28","1,430.00",Submitted,1.74,,,,,Cluster,Xeon E5-2690v4 14C 2.6GHz,Intel Broadwell,"2,600",bullx SCS,Linux,None,14,Intel Xeon E5 (Broadwell),bullx DLC 720,Bull Bullx,Infiniband,Infiniband FDR,Europe,"50,203",179092
154,306,CSystem,"Sugon TC6000, Xeon Gold 5118 12C 2.3GHz, 10G Ethernet",Telecom Operator (C),Sugon,China,2018,Others,"97,920",,"1,736.00","7,206.91","1,000.00",Submitted,1.74,,,,,Cluster,Xeon Gold 5118 12C 2.3GHz,Intel Skylake,"2,300",Linux,Linux,None,12,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,10G Ethernet,Asia,"50,783",179538
155,426,Luna,"Cray XC40, Xeon E5-2690v3 12C 2.6GHz, Aries interconnect ",NOAA,Cray/HPE,United States,2015,Research,"48,960",,"1,635.02","2,036.74",956.25,Submitted,1.71,,,,,MPP,Xeon E5-2690v3 12C 2.6GHz,Intel Haswell,"2,600",Cray Linux Environment ,Linux,None,12,Intel Xeon E5 (Haswell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,North America,"48,437",178614
156,425,Surge,"Cray XC40, Xeon E5-2690v3 12C 2.6GHz, Aries interconnect ",NOAA,Cray/HPE,United States,2015,Research,"48,960",,"1,635.02","2,036.74",956.25,Submitted,1.71,,,,,MPP,Xeon E5-2690v3 12C 2.6GHz,Intel Haswell,"2,600",Cray Linux Environment ,Linux,None,12,Intel Xeon E5 (Haswell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,North America,"48,437",178613
157,151,Excalibur,"Cray XC40, Xeon E5-2698v3 16C 2.3GHz, Aries interconnect ",Army Research Laboratory DoD Supercomputing Resource Center (ARL DSRC),Cray/HPE,United States,2014,Government,"100,064",,"2,485.00","3,682.36","1,465.78",Submitted,1.70,,,,,MPP,Xeon E5-2698v3 16C 2.3GHz,Intel Haswell,"2,300",Cray Linux Environment ,Linux,None,16,Intel Xeon E5 (Haswell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,North America,"50,423",178447
158,469,HKVSSystem,"Sugon TC6000, Xeon E5-2630v4 10C 2.2GHz, 10G Ethernet",Internet Company,Sugon,China,2018,Industry,"82,800",,"1,417.00","2,914.56",850.00,Submitted,1.67,,,,,Cluster,Xeon E5-2630v4 10C 2.2GHz,Intel Broadwell,"2,200",CentOS,Linux,None,10,Intel Xeon E5 (Broadwell),Sugon TC6000,Sugon Cluster,Gigabit Ethernet,10G Ethernet,Asia,"50,707",179533
159,240,TTSystem,"Sugon TC6000, Xeon E5-2630v4 10C 2.2GHz, 10G Ethernet",Internet Service (B),Sugon,China,2018,Industry,"116,600",,"1,997.00","4,104.32","1,200.00",Submitted,1.66,,,,,Cluster,Xeon E5-2630v4 10C 2.2GHz,Intel Broadwell,"2,200",CentOS,Linux,None,10,Intel Xeon E5 (Broadwell),Sugon TC6000,Sugon Cluster,Gigabit Ethernet,10G Ethernet,Asia,"50,330",179544
160,493,SGSystem,"Sugon TC6000, Xeon E5-2650v4 12C 2.2GHz, 10G Ethernet",SPGrid,Sugon,China,2018,Government,"78,720",,"1,345.00","2,770.94",810.00,Submitted,1.66,,,,,Cluster,Xeon E5-2650v4 12C 2.2GHz,Intel Broadwell,"2,200",CentOS,Linux,None,12,Intel Xeon E5 (Broadwell),Sugon TC6000,Sugon Cluster,Gigabit Ethernet,10G Ethernet,Asia,"50,785",179540
161,294,JCSystem,"Sugon TC6000, Xeon E5-2620v4 8C 2.1GHz, 10G Ethernet",Internet Company,Sugon,China,2018,Industry,"110,080",,"1,807.00","3,698.69","1,100.00",Submitted,1.64,,,,,Cluster,Xeon E5-2620v4 8C 2.1GHz,Intel Broadwell,"2,100",Linux,Linux,None,8,Intel Xeon E5 (Broadwell),Sugon TC6000,Sugon Cluster,Gigabit Ethernet,10G Ethernet,Asia,"50,598",179543
162,244,HKVDPSystem,"Sugon TC6000, Xeon E5-2620v4 8C 2.1GHz, 10G Ethernet",IT Service Provider,Sugon,China,2018,Industry,"121,920",,"1,979.00","4,096.51","1,216.00",Submitted,1.63,,,,,Cluster,Xeon E5-2620v4 8C 2.1GHz,Intel Broadwell,"2,100",Linux,Linux,None,8,Intel Xeon E5 (Broadwell),Sugon TC6000,Sugon Cluster,Gigabit Ethernet,10G Ethernet,Asia,"50,710",179679
163,245,HKVDPSystem,"Sugon TC6000, Xeon E5-2620v4 8C 2.1GHz, 10G Ethernet",Internet Company,Sugon,China,2018,Industry,"121,920",,"1,979.00","4,096.51","1,216.00",Submitted,1.63,,,,,Cluster,Xeon E5-2620v4 8C 2.1GHz,Intel Broadwell,"2,100",Linux,Linux,None,8,Intel Xeon E5 (Broadwell),Sugon TC6000,Sugon Cluster,Gigabit Ethernet,10G Ethernet,Asia,"50,707",179532
164,297,ESSystem,"Sugon TC6000, Xeon E5-2630v4 10C 2.2GHz, 10G Ethernet",State Grid Corp,Sugon,China,2018,Industry,"105,000",,"1,790.00","3,696.00","1,100.00",Submitted,1.63,,,,,Cluster,Xeon E5-2630v4 10C 2.2GHz,Intel Broadwell,"2,200",CentOS,Linux,None,10,Intel Xeon E5 (Broadwell),Sugon TC6000,Sugon Cluster,Gigabit Ethernet,10G Ethernet,Asia,"50,610",179546
165,440,SGSystem,"Sugon TC6000, Xeon E5-2630v4 10C 2.2GHz, 10G Ethernet",State Grid Corp,Sugon,China,2018,Industry,"92,000",,"1,562.00","3,238.40",960.00,Submitted,1.63,,,,,Cluster,Xeon E5-2630v4 10C 2.2GHz,Intel Broadwell,"2,200",CentOS,Linux,None,10,Intel Xeon E5 (Broadwell),Sugon TC6000,Sugon Cluster,Gigabit Ethernet,10G Ethernet,Asia,"50,610",179545
166,322,ISystem,"Sugon TC6000, Xeon E5-2650v4 12C 2.2GHz, 10G Ethernet",IIT Company,Sugon,China,2018,Industry,"97,920",,"1,683.00","3,446.78","1,050.00",Submitted,1.60,,,,,Cluster,Xeon E5-2650v4 12C 2.2GHz,Intel Broadwell,"2,200",CentOS,Linux,None,12,Intel Xeon E5 (Broadwell),Sugon TC6000,Sugon Cluster,Gigabit Ethernet,10G Ethernet,Asia,"50,786",179541
167,281,Astra,"Apollo 70, Marvell ThunderX2 ARM CN9975-2000  28C 2GHz, 4xEDR Infiniband",Sandia National Laboratories,HPE,United States,2018,Research,"143,640",,"1,833.00","2,298.24","1,192.54",Submitted,1.54,,3,,,Cluster,Marvell ThunderX2 CN9975-2000  28C 2GHz,ThunderX2,"2,000",Tri-Lab Operating System ,Linux,None,28,Marvell ThunderX2,Apollo 70,HP Apollo,Infiniband,4xEDR Infiniband,North America,"48,748",179565
168,282,,"Sugon TC6000, Xeon Gold 5117 14C 2GHz, 25G Ethernet",Internet Service (B),Sugon,China,2019,Industry,"116,200",,"1,832.00","7,436.80","1,300.00",Submitted,1.41,,,,,Cluster,Xeon Gold 5117 14C 2GHz,Intel Skylake,"2,000",CentOS,Linux,None,14,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,25G Ethernet,Asia,"50,330",179738
169,234,,"Sugon TC6000, Xeon Gold 5118 12C 2.3GHz, 10G Ethernet",Internet Company,Sugon,China,2019,Industry,"110,880",,"2,007.00","8,160.77","1,470.00",Submitted,1.37,,,,,Cluster,Xeon Gold 5118 12C 2.3GHz,Intel Skylake,"2,300",Linux,Linux,None,12,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,10G Ethernet,Asia,"50,743",179677
170,439,,"Sugon TC6000, Xeon Gold 5118 12C 2.3GHz, 10G Ethernet",Internet Company,Sugon,China,2019,Industry,"88,800",,"1,569.00","6,535.68","1,150.00",Submitted,1.36,,,,,Cluster,Xeon Gold 5118 12C 2.3GHz,Intel Skylake,"2,300",Linux,Linux,None,12,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,10G Ethernet,Asia,"50,743",179675
171,46,Pleiades,"SGI ICE X, Intel Xeon E5-2670/E5-2680v2/E5-2680v3/E5-2680v4  2.6/2.8/2.5/2.4 GHz, Infiniband FDR",NASA/Ames Research Center/NAS,HPE,United States,2016,Research,"241,108",,"5,951.55","7,107.15","4,407.00",Submitted,1.35,,1,,,Cluster,Intel Xeon E5-2680v2  10C 2.8GHz,Intel IvyBridge,"2,800",SUSE Linux Enterprise Server 11,Linux,None,10,Intel Xeon E5 (IvyBridge),SGI ICE X,SGI ICE,Infiniband,Infiniband FDR,North America,"48,408",177259
